Offense Code,Offense_Category,Suggested Bin,Offense,Citation,Statute,L/D
3990001,100,bin_01_human_trafficking,MISREPRESENT CHILD AS FAMILY MEMBER ENTRY PORT,37.082(c),PC,MB
9000001,100,,,,,
9000002,100,,,,,
9000003,100,,,,,
9000005,100,,,,,
9000016,100,,,,,
9000017,100,,,,,
9070000,100,,,,,
9120000,200,bin_02_murder,,,,
9130000,200,bin_02_murder,,,,
9140000,200,bin_02_murder,,,,
9150000,200,bin_02_murder,,,,
9160000,200,bin_02_murder,,,,
9170000,200,bin_02_murder,,,,
9180000,200,bin_02_murder,,,,
9190000,200,bin_02_murder,,,,
9990000,200,bin_02_murder,,,,
9990001,200,bin_02_murder,,,,
9990002,200,bin_02_murder,,,,
9990003,200,bin_02_murder,,,,
9990004,200,bin_02_murder,,,,
9990005,200,bin_02_murder,,,,
9990007,200,bin_02_murder,,,,
9990008,200,bin_02_murder,,,,
9990009,200,bin_02_murder,,,,
9990010,200,bin_02_murder,,,,
9990011,200,bin_02_murder,,,,
9990012,200,bin_02_murder,,,,
9990014,200,bin_02_murder,,,,
9990015,200,bin_02_murder,,,,
9990016,200,bin_02_murder,,,,
9990017,200,bin_02_murder,MANSLAUGHTER,19.04,PC,F2
9990018,200,bin_02_murder,CRIMINAL NEGLIGENT HOMICIDE,19.05,PC,FS
9990019,200,,,,,
9990020,200,bin_02_murder,CAPITAL MURDER OF A PEACE OFFICER OR FIREMAN,19.03(a)(1),PC,FX
9990021,200,bin_02_murder,MURDER UNDER INFLUENCE OF SUDDEN PASSION,19.02(d),PC,F2
9990022,200,bin_02_murder,CAPITAL MURDER BY TERROR THREAT/OTHER FELONY,19.03(a)(2),PC,FX
9990023,200,bin_02_murder,CAPITAL MURDER WHILE REMUNERATION,19.03(a)(3),PC,FX
9990024,200,bin_02_murder,CAPITAL MURDER PERSON WHILE ESCAPING/ATTEMPT,19.03(a)(4),PC,FX
9990025,200,bin_02_murder,CAPITAL MURDER OF ANOTHER PERSON IN PRISON,19.03(a)(5-6),PC,FX
9990026,200,bin_02_murder,CAPITAL MURDER OF MULTIPLE PERSONS,19.03(a)(7),PC,FX
9990027,200,,,,,
9990028,200,,,,,
9990029,200,bin_02_murder,CAPITAL MURDER OF PERSON UNDER TEN YOA,19.03(a)(8),PC,FX
9990030,200,bin_02_murder,MURDER,19.02(c),PC,F1
9990031,200,bin_02_murder,CAPITAL MURDER OF PERSON =>10YOA<15YOA,19.03(a)(9),PC,FX
9990032,200,bin_02_murder,CAPITAL MURDER FOR RETALIATION JUDGE/JUSTICE,19.03(a)(10),PC,FX
10050001,300,bin_03_kidnapping,UNLAWFUL RESTRAINT LESS THAN 17 YRS OF AGE,20.02(c)(1),PC,FS
10100000,300,,,,,
10110000,300,,,,,
10990001,300,bin_03_kidnapping,KIDNAPPING,20.03,PC,F3
10990002,300,bin_03_kidnapping,AGREEMENT TO ABDUCT FROM CUSTODY,25.031,PC,FS
10990003,300,,,,,
10990004,300,,,,,
10990005,300,,,,,
10990007,300,bin_03_kidnapping,AGG KIDNAPPING FOR RANSOM/REWARD,20.04(a)(1),PC,F1
10990008,300,bin_03_kidnapping,AGG KIDNAPPING FOR RANSOM/REWARD SAFE RELEASE,20.04(d),PC,F2
10990009,300,bin_03_kidnapping,AGG KIDNAPPING USE AS SHIELD/HOSTAGE,20.04(a)(2),PC,F1
10990010,300,bin_03_kidnapping,AGG KIDNAPPING USE AS SHIELD/HOSTAGE SAFE REL,20.04(d),PC,F2
10990011,300,bin_03_kidnapping,AGG KIDNAPPING FACILITATE,20.04(a)(3),PC,F1
10990012,300,bin_03_kidnapping,AGG KIDNAPPING FACILITATE SAFE RELEASE,20.04(d),PC,F2
10990013,300,bin_03_kidnapping,AGG KIDNAPPING BI/SEXUAL ABUSE,20.04(a)(4),PC,F1
10990014,300,bin_03_kidnapping,AGG KIDNAPPING BI/SEXUAL ABUSE SAFE RELEASE,20.04(d),PC,F2
10990015,300,bin_03_kidnapping,AGG KIDNAPPING TERRORIZE,20.04(a)(5),PC,F1
10990016,300,bin_03_kidnapping,AGG KIDNAPPING TERRORIZE SAFE RELEASE,20.04(d),PC,F2
10990017,300,bin_03_kidnapping,AGG KIDNAPPING INTERFERE PERFORMANCE,20.04(a)(6),PC,F1
10990018,300,bin_03_kidnapping,AGG KIDNAPPING INTERFERE PERFORMANCE SAFE REL,20.04(d),PC,F2
10990019,300,bin_03_kidnapping,UNLAWFUL RESTRAINT,20.02(c),PC,MA
10990020,300,bin_03_kidnapping,UNLAWFUL RESTRAINT:EXPOSE TO SBI,20.02(c)(2)(A),PC,F3
10990021,300,bin_03_kidnapping,AGG KIDNAPPING W/ DEADLY WEAPON,20.04(b),PC,F1
10990022,300,bin_03_kidnapping,AGG KIDNAPPING W/ DEADLY WEAPON SAFE RELEASE,20.04(d),PC,F2
11000001,400,,,,,
11000002,400,,,,,
11000006,400,,,,,
11020000,400,,,,,
11030000,400,,,,,
11180000,400,,,,,
11190000,400,,,,,
11200000,400,,,,,
11220000,400,,,,,
11990000,400,,,,,
11990001,400,bin_04_sexual_assault,SEXUAL ASSAULT,22.011(a)(1),PC,F2
11990002,400,bin_04_sexual_assault,SEXUAL ASSAULT CHILD,22.011(a)(2),PC,F2
11990003,400,bin_04_sexual_assault,AGG SEXUAL ASSAULT,22.021,PC,F1
11990004,400,bin_04_sexual_assault,AGG SEXUAL ASSAULT CHILD,22.021(a)(2)(B),PC,F1
11990005,400,,,,,
11990006,400,,,,,
11990007,400,bin_04_sexual_assault,SEXUAL CONT/INTRCRSE W/JUVENILE FACILITY/TJJD,39.04(b)(1)(2),PC,F2
11990008,400,bin_04_sexual_assault,IMPROPER RELATIONSHIP BETWEEN EDUCATOR/STUDENT,21.12,PC,F2
11990009,400,,,,,
11990010,400,bin_04_sexual_assault,SEXUAL ASSLT PROH/PURPORT SPOUSE UNDER 14YOA,22.011(e)(2)(A),PC,F1
11990011,400,,,,,
11990012,400,,,,,
11990015,400,bin_04_sexual_assault,SEX ABUSE OF CHILD CONTINUOUS: VICTIM UNDER 14,21.02(b),PC,F1
11990016,400,,,,,
11990017,400,,,,,
11990018,400,bin_04_sexual_assault,SEXUAL ASSAULT PROH/PURPORT SPOUSE,22.011(f)(1),PC,F1
11990019,400,bin_04_sexual_assault,SEXUAL ASSAULT BIGAMY,22.011(f)(1),PC,F1
11990020,400,bin_04_sexual_assault,SEXUAL ASSAULT DONOR W/O CONSENT,22.011(f)(2),PC,FS
12000001,500,,,,,
12120000,500,,,,,
12130000,500,,,,,
12140000,500,,,,,
12150000,500,,,,,
12990000,500,,,,,
12990001,500,bin_05_robbery,ROBBERY,29.02,PC,F2
12990002,500,bin_05_robbery,AGG ROBBERY,29.03,PC,F1
13000002,600,,,,,
13000004,600,,,,,
13000005,600,,,,,
13000030,600,,,,,
13000031,600,,,,,
13000036,600,,,,,
13040000,600,,,,,
13070000,600,,,,,
13080000,600,,,,,
13140000,600,,,,,
13140002,600,bin_06_assault,AGG ASSLT MV DISCH FRARM RKLS HAB/BLDG/VEH SBI,22.02(b)(3),PC,F1
13150000,600,,,,,
13150001,600,,,,,
13150002,600,,,,,
13150004,600,bin_06_assault,AGG ASSAULT CAUSES SERIOUS BODILY INJ,22.02(a)(1),PC,F2
13150005,600,bin_06_assault,AGG ASSAULT W/DEADLY WEAPON,22.02(a)(2),PC,F2
13150007,600,bin_06_assault,AGG ASSAULT DATE/FAMILY/HOUSE W/WEAPON,22.02(b)(1),PC,F1
13150008,600,bin_06_assault,AGG ASSAULT IN RETALIATION,22.02(b)(2)(C),PC,F1
13150009,600,bin_06_assault,AGG ASSAULT AGAINST SECURITY OFFICER,22.02(b)(2)(D),PC,F1
13150010,600,bin_06_assault,AGG ASSAULT BY PUBLIC SERVANT,22.02(b)(2)(A),PC,F1
13150011,600,bin_06_assault,AGG ASSAULT AGAINST PUBLIC SERVANT,22.02(b)(2)(B),PC,F1
13160003,700,bin_07_coercion_politics,COERCION OF POLICE FIRE W/POLITICAL CAMPAIGN,180.001(a),LGC,M*
13160005,4700,bin_47_civil_rights_discrimination,INTIMIDATE INTERFER W/FAIR HOUSING ACT,301.171,PRC,MA
13160009,600,,,,,
13160010,600,,,,,
13160011,600,,,,,
13160012,900,bin_09_harassment ,HARASSMENT,42.07(c),PC,MB
13160014,900,bin_09_harassment ,STALKING,42.072(b),PC,F3
13160015,900,bin_09_harassment ,STALKING W/PREV CONV,42.072(b),PC,F2
13160016,900,bin_09_harassment ,HARASSMENT BY PERSON IN CORR/DET/CIV COM FACIL,22.11(b),PC,F3
13160017,900,bin_09_harassment ,HARASSMENT OF PUBLIC SERVANT,22.11(b),PC,F3
13160018,900,bin_09_harassment ,"HARASSMENT OF HUNTERS, TRAPPERS AND FISHERMEN",62.0125(g),PWC,MB
13160019,900,bin_09_harassment ,HARASSMENT W/PREV CONV,42.07(c)(1),PC,MA
13160020,900,bin_09_harassment ,HARASSMENT-REPEATED ELECTRONIC COMMUNICATION,42.07(c)(2),PC,MA
13160021,900,bin_09_harassment ,HARASSMENT PERSON <18YOA INTEND SBI/SUICIDE,42.07(c)(2)(A),PC,MA
13160022,900,bin_09_harassment ,HARASSMENT PREV VIOL TEMP RESTRAINING ORDER,42.07(c)(2)(B),PC,MA
13170000,600,,,,,
13180000,600,,,,,
13190000,600,,,,,
13200000,600,,,,,
13210000,600,,,,,
13990000,600,,,,,
13990001,600,bin_06_assault,ASSAULT CAUSES BODILY INJ,22.01(a)(1),PC,MA
13990002,600,,,,,
13990003,600,,,,,
13990006,600,,,,,
13990008,600,,,,,
13990009,600,,,,,
13990011,600,,,,,
13990013,600,,,,,
13990021,600,,,,,
13990023,700,bin_07_coercion_politics,COERCION OF PUBLIC SERVANT/VOTER,36.03(a),PC,MA
13990024,700,,,,,
13990025,700,,,,,
13990026,700,,,,,
13990027,700,bin_07_coercion_politics,COERCION OF PB SERV/VOTER THREAT OF FELONY,36.03(b),PC,F3
13990028,600,,,,,
13990029,600,,,,,
13990031,600,bin_06_assault,ASSAULT CAUSES BODILY INJURY FAMILY MEMBER,22.01(a)(1),PC,MA
13990037,600,,,,,
13990038,800,bin_08_child_protective_services,MODIFICATION OF CONSERVATOR FOR CHILD ABUSE,156.104,FC,MB
13990039,600,bin_06_assault,MODIFICATION OF ORDER ON CONV FOR FAMILY VIOL,156.1045,FC,MB
13990040,600,,,,,
13990041,600,bin_06_assault,INJURY CHILD/ELDERLY/DISABLE W/INT SBI/MENTAL,22.04(e),PC,F1
13990042,600,bin_06_assault,INJ CHILD/ELDERLY/DISABLED RECKLESS BI/MENTAL,22.04(e),PC,F2
13990043,600,bin_06_assault,INJURY CHILD/ELDERLY/DISABLE W/INT BODILY INJ,22.04(f),PC,F3
13990044,600,bin_06_assault,INJ CHILD/ELDERLY/DISABLED RECKLESS BI,22.04(f),PC,FS
13990045,600,bin_06_assault,INJ CHILD/ELDERLY/DISABLED CRIM NEGLIGENCE,22.04(g),PC,FS
13990046,700,bin_07_coercion_politics,RETALIATION AGAINST VOTER,276.001(a),EC,F3
13990050,600,bin_06_assault,ASSAULT AGAINST SPORTS PARTICIPANT,22.01(c)(2),PC,MB
13990052,600,bin_06_assault,ASSAULT AGAINST GOVERNMENT CONTRACTOR/EMPLOYEE,22.01(b)(3)(A),PC,F3
13990057,600,bin_06_assault,ASSAULT CAUSES BI RETALIATION W/GOVERN,22.01(b)(3)(B),PC,F3
13990059,600,,,,,
13990061,600,bin_06_assault,ASSAULT ON SECURITY OFFICER,22.01(b)(4),PC,F3
13990063,600,bin_06_assault,ASSAULT PUBLIC SERVANT,22.01(b)(1),PC,F3
13990064,600,bin_06_assault,OWNER/OPER/EMP GROUP/NURSE W/INT BOD INJ,22.04(f),PC,F3
13990065,600,bin_06_assault,OWNER/OPERATOR/EMP GROUP/NURSE NEGLIGENT/OMISS,22.04(a)(1),PC,FS
13990067,600,bin_06_assault,OWNER/OPERATOR/EMP GROUP/NURSE RECKLESS,22.04(e),PC,F2
13990068,600,bin_06_assault,OWNER/OPERATOR/EMP GROUP/NURSE RECKLESS,22.04(f),PC,FS
13990069,600,bin_06_assault,OWNER/OPERATOR/EMP GROUP/NURSE W/INT VIOL,22.04(e),PC,F1
13990070,600,bin_06_assault,ASSAULT EMS PERSONNEL PROV SERV,22.01(b)(5),PC,F3
13990071,600,,,,,
13990073,600,,,,,
13990074,600,,,,,
13990075,600,bin_06_assault,ASSAULT FAMILY/HOUSEHOLD MEMBER PREV CONV IAT,22.01(b)(2)(A),PC,F3
13990076,600,bin_06_assault,ASSAULT FAM/HOUSE MEM IMPEDE BREATH/CIRCULAT,22.01(b)(2)(B),PC,F3
13990077,600,bin_06_assault,INT BOD INJ CHILD/ELDER/DISABLED STATE FAC EMP,22.04(f),PC,F2
13990078,600,bin_06_assault,CONTINUOUS VIOLENCE AGAINST THE FAMILY,25.11(e),PC,F3
13990079,600,bin_06_assault,ASSAULT AGAINST ELDERLY OR DISABLED INDIVIDUAL,22.01(c)(1),PC,MA
13990080,600,bin_06_assault,ASSAULT FORCE INDIVIDUAL TO HAVE ABORTION BI,22.01(b)(6),PC,F3
13990081,600,bin_06_assault,ASSAULT FORCE INDIV HAVE ABORTION THRT/CONTACT,22.01(c)(3),PC,MA
13990082,600,bin_06_assault,ASSAULT PEACE OFFICER/JUDGE,22.01(b-2),PC,F2
13990083,600,,,,,
13990084,600,bin_06_assault,ASSAULT BI EMPLOYE/CONTRACTOR CIV COM FACILITY,22.01(b-1),PC,F3
13990085,600,bin_06_assault,FEMALE GENITAL MUTILATION PROH UNDER 18YR,167.001(b),HSC,FS
13990086,600,bin_06_assault,ASSAULT OF PREGNANT PERSON,22.01(b)(7),PC,F3
13990087,600,bin_06_assault,ASSAULT INT/RECK BREATH/CIRC FAM MEM PREV IAT,22.01(b-3),PC,F2
13999999,600,bin_06_assault,ASSAULT CLASS C,CLASS C,X,MC
14010001,1000,bin_10_abortion_fail_render_newborn,PROHIBITED PARTIAL-BIRTH ABORTION,171.103,HSC,FS
14010002,1000,bin_10_abortion_fail_render_newborn,PROHIBITED DISMEMBERMENT ABORTION,171.153(b),HSC,FS
14990002,1000,bin_10_abortion_fail_render_newborn,PHYSICIAN ABORTION REPORTING REQUIREMENT,245.011(e),HSC,MA
