County,Sexual_Assault,Assault,Robbery,Drugs,Murder,Burglary,Alcohol_Incident,Evading_Arrest,Weapon_Related,Theft
Bexar,1212,1358,1492,1154,1272,457,263,197,299,131
Dallas,2305,1698,2595,990,2109,641,166,155,158,181
El Paso,301,352,230,294,314,119,137,43,33,40
Harris,2520,2232,4849,1356,3192,823,466,351,445,271
Hidalgo,422,333,321,194,394,136,179,101,30,36
McLennan,539,412,216,516,165,166,96,143,51,45
Montgomery,459,231,245,361,156,82,180,113,47,29
Smith,358,361,280,401,146,150,173,98,56,73
Tarrant,1715,1234,1394,998,983,430,262,275,202,190
Travis,691,542,535,207,465,198,145,44,56,18
