Geography,Race,Household Income by Race
Bexar,White,62532
Collin,White,99948
Dallas,White,73737
Denton,White,93735
El Paso,White,53994.5
Fort Bend,White,103495.5
Harris,White,78901
Hidalgo,White,45671
Tarrant,White,77840
Travis,White,87567.5
Bexar,Black,44964
Collin,Black,72508
Dallas,Black,43717
Denton,Black,63556
El Paso,Black,62616
Fort Bend,Black,76890
Harris,Black,42774
Hidalgo,Black,58561
Tarrant,Black,47885
Travis,Black,52503
Bexar,Other,56894
Collin,Other,92271.75
Dallas,Other,63822.6
Denton,Other,76802.75
El Paso,Other,38952.2
Harris,Other,60634.2
Tarrant,Other,63620.6
Travis,Other,71066
Hidalgo,Other,45677.33333
Fort Bend,Other,90703.33333
Bexar,Asian,75781
Collin,Asian,118264
Dallas,Asian,80415
Denton,Asian,100787
El Paso,Asian,52181
Fort Bend,Asian,113902
Harris,Asian,74974
Hidalgo,Asian,51350
Tarrant,Asian,72681
Travis,Asian,109505
Bexar,Hispanic,46329
Collin,Hispanic,63312
Dallas,Hispanic,51473
Denton,Hispanic,70075
El Paso,Hispanic,39744
Fort Bend,Hispanic,61961
Harris,Hispanic,49270
Hidalgo,Hispanic,37549
Tarrant,Hispanic,55035
Travis,Hispanic,54206
