Offense Code,TDCJ Offense
9000001,MURDER
9000001,SOLICIT COMM CAP MURDER
9000001,MURDER
9000001,MURDER
9000001,MURDER
9000001,MURDER
9000001,MURDER
9000002,MURDER
9000002,MURDER
9000002,MURDER
9000002,MURDER
9000002,MURDER
9000002,MURDER
9000002,MURDER
9000002,MURDER
9000002,MURDER
9000002,MURDER
9000002,MURDER
9000002,MURDER
9000002,MURDER
9000002,MURDER
9000002,MURDER
9000002,MURDER
9000003,MURDER
9000005,CAPITAL MURDER
9000005,ATT CAPITAL MURDER
9000005,CAPITAL MURDER
9000005,CAPITAL MURDER
9000005,ATT CAPITAL MURDER
9000016,CAPITAL MURDER
9000017,CAPITAL MURDER
9070000,CAPITAL MURDER
9120000,MURDER W/DEADLY WPN
9120000,MURDER W/DEADLY WPN
9130000,CAP MUR W/DEADLY WPN
9130000,CAP MURDER
9130000,CAP MURDER
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER
9130000,CAP MURDER W/DEADLY WPN
9130000,CAPITAL MURDER(DEATH)
9130000,CAP MURDER
9130000,CAP MURDER
9130000,CAP MURDER W/DEADLY WPN
9130000,CAP MURDER-NONFAMILY-GUN
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER
9130000,CAPIT MURDER-NON FAMILY
9130000,CAP MURDER
9130000,CAP MURDER
9130000,CAPITAL MURDER W/DEADLY W
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER (DEATH)
9130000,CAP MURDER W/DEADLY WPN
9130000,CAPITAL MURDER
9130000,CAP MURDER
9130000,CAP MURDER W/DEADLY WPN
9130000,CAP MURDER
9130000,CAPTIAL MURDER
9130000,CAPITAL MURDER
9130000,CAP MURDER W/DEADLY WPN
9130000,CAP MURDER
9130000,CAP MURDER
9130000,CAP MURDER W/DEADLY WPN
9130000,CAPITAL MURDER
9130000,CAP MURDER
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER
9130000,CAP MURDER
9130000,CAPITAL MURDER
9130000,CAP MURDER
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER
9130000,CAP MURDER
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER
9130000,CAP MURDER
9130000,CAP MURDER
9130000,CAP MURDER
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER
9130000,CAP MURDER W/DEADLY WPN
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER (DEATH)
9130000,CAPITAL MURDER
9130000,CAP MURDER
9130000,CAPITAL MURDER
9130000,CAP MUR W/DEADLY WPN
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER
9130000,CAP MURDER
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER
9130000,CAP MURDER W/DEADLY WPN
9130000,CAPITAL MURDER
9130000,CAP MURDER
9130000,CAP MUR W/DEAD WPN
9130000,CAP MURDER
9130000,CAP MURDER
9130000,CAP MURDER
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER
9130000,CAP MURDER W/DEADLY WPN
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER
9130000,CAPITAL MURDER
9130000,CAP MURDER
9130000,CAP MURDER W/DEADLY WPN
